ts,date,username,label,followers,media_count,is_own
2026-08-31 08:20,2026-08-30,musinsa.official,무신사,554936,19335,0
2026-08-31 08:20,2026-08-30,toss.im,토스,82305,996,0
2026-08-31 08:20,2026-08-30,todayhouse,오늘의집,1304131,13292,0
2026-08-31 08:20,2026-08-30,naver_official,네이버,145297,831,0
2026-08-31 08:20,2026-08-30,omg_electronics,오목교 전자상가,7358,70,0
2026-08-31 08:20,2026-08-30,29cm.home,29CM 홈,140115,973,0
2026-08-31 08:20,2026-08-30,pineinfo_insta,파인인포,14283,237,0
2026-08-31 08:20,2026-08-30,gmarket_official,지마켓,297224,2279,0
2026-08-31 08:20,2026-08-30,kream.co.kr,크림,371876,3599,0
2026-08-31 08:20,2026-08-30,marketkurly,컬리,214546,3145,0
2026-08-31 09:01,2026-08-31,compuzone_kr,컴퓨존 (자사),2158,81,1
2026-08-31 09:01,2026-08-31,musinsa.official,무신사,554944,19335,0
2026-08-31 09:01,2026-08-31,toss.im,토스,82304,996,0
2026-08-31 09:01,2026-08-31,todayhouse,오늘의집,1304133,13292,0
2026-08-31 09:01,2026-08-31,naver_official,네이버,145301,831,0
2026-08-31 09:01,2026-08-31,omg_electronics,오목교 전자상가,7358,70,0
2026-08-31 09:01,2026-08-31,29cm.home,29CM 홈,140113,973,0
2026-08-31 09:01,2026-08-31,pineinfo_insta,파인인포,14283,237,0
2026-08-31 09:01,2026-08-31,gmarket_official,지마켓,297227,2279,0
2026-08-31 09:01,2026-08-31,kream.co.kr,크림,371875,3599,0
2026-08-31 09:01,2026-08-31,marketkurly,컬리,214545,3145,0
2026-09-01 09:01,2026-09-01,compuzone_kr,컴퓨존 (자사),2159,81,1
2026-09-01 09:01,2026-09-01,musinsa.official,무신사,555041,19339,0
2026-09-01 09:01,2026-09-01,toss.im,토스,82357,997,0
2026-09-01 09:01,2026-09-01,todayhouse,오늘의집,1304084,13296,0
2026-09-01 09:01,2026-09-01,naver_official,네이버,145343,831,0
2026-09-01 09:01,2026-09-01,omg_electronics,오목교 전자상가,7358,72,0
2026-09-01 09:01,2026-09-01,29cm.home,29CM 홈,140072,973,0
2026-09-01 09:01,2026-09-01,pineinfo_insta,파인인포,14291,237,0
2026-09-01 09:01,2026-09-01,gmarket_official,지마켓,297378,2280,0
2026-09-01 09:01,2026-09-01,kream.co.kr,크림,371882,3602,0
2026-09-01 09:01,2026-09-01,marketkurly,컬리,214655,3146,0
2026-09-01 17:01,2026-09-01,compuzone_kr,컴퓨존 (자사),2159,83,1
2026-09-01 17:01,2026-09-01,musinsa.official,무신사,555082,19342,0
2026-09-01 17:01,2026-09-01,toss.im,토스,82371,997,0
2026-09-01 17:01,2026-09-01,todayhouse,오늘의집,1304069,13298,0
2026-09-01 17:01,2026-09-01,naver_official,네이버,145323,832,0
2026-09-01 17:01,2026-09-01,omg_electronics,오목교 전자상가,7356,73,0
2026-09-01 17:01,2026-09-01,29cm.home,29CM 홈,140084,973,0
2026-09-01 17:01,2026-09-01,pineinfo_insta,파인인포,14292,237,0
2026-09-01 17:01,2026-09-01,gmarket_official,지마켓,297390,2281,0
2026-09-01 17:01,2026-09-01,kream.co.kr,크림,371895,3604,0
2026-09-01 17:01,2026-09-01,marketkurly,컬리,214770,3147,0
